Start ROI Name: _Z16parsec_roi_beginv
0x557612e234f3: Read Addr:  0x7ffc11bf23d8 Phase: _Z16parsec_roi_beginv
0x557612e23bd5: Write Addr:  0x7ffc11bf23d8 Phase: main
0x557612e24500: Write Addr:  0x7ffc11bf23d0 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557612e24504: Write Addr:  0x7ffc11bf23c8 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557612e24506: Write Addr:  0x7ffc11bf23c0 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557612e24508: Write Addr:  0x7ffc11bf23b8 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557612e2450d: Write Addr:  0x7ffc11bf2398 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557612e24511: Write Addr:  0x7ffc11bf2390 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557612e24515: Read Addr:  0x7fdfbfba7128 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557612e2451e: Write Addr:  0x7ffc11bf23a8 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557612e24524: Read Addr:  0x7ffc11bf2398 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557612e24528: Read Addr:  0x7ffc11bf2390 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557612e2452f: Write Addr:  0x7ffc11bf2388 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557612e2531a: Write Addr:  0x7ffc11bf2380 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x557612e2531e: Write Addr:  0x7ffc11bf2378 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x557612e25322: Read Addr:  0x7ffc11bf2378 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x557612e25326: Read Addr:  0x7ffc11bf2380 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x557612e25327: Read Addr:  0x7ffc11bf2388 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x557612e24541: Write Addr:  0x7ffc11bf2388 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557612e252ca: Write Addr:  0x7ffc11bf2380 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x557612e252d2: Write Addr:  0x7ffc11bf2368 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x557612e252d6: Write Addr:  0x7ffc11bf2360 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x557612e252da: Read Addr:  0x7fdfbfba7128 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x557612e252e3: Write Addr:  0x7ffc11bf2378 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x557612e252e9: Read Addr:  0x7ffc11bf2368 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x557612e252ed: Read Addr:  0x7ffc11bf2360 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x557612e252f7: Write Addr:  0x7ffc11bf2358 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x557612e25c1d: Write Addr:  0x7ffc11bf2350 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x557612e25c25: Write Addr:  0x7ffc11bf2348 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x557612e25c29: Write Addr:  0x7ffc11bf2340 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x557612e25c2d: Read Addr:  0x7ffc11bf2340 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
