Start ROI Name: _Z16parsec_roi_beginv
0x55a2edb394f3: Read Addr:  0x7ffd4026c508 Phase: _Z16parsec_roi_beginv
0x55a2edb39b67: Write Addr:  0x7ffd4026c508 Phase: main
0x55a2edb3a464: Write Addr:  0x7ffd4026c500 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55a2edb3a468: Write Addr:  0x7ffd4026c4f8 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55a2edb3a46a: Write Addr:  0x7ffd4026c4f0 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55a2edb3a46c: Write Addr:  0x7ffd4026c4e8 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55a2edb3a471: Write Addr:  0x7ffd4026c4c8 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55a2edb3a475: Write Addr:  0x7ffd4026c4c0 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55a2edb3a479: Read Addr:  0x7f607018d128 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55a2edb3a482: Write Addr:  0x7ffd4026c4d8 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55a2edb3a488: Read Addr:  0x7ffd4026c4c8 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55a2edb3a48c: Read Addr:  0x7ffd4026c4c0 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55a2edb3a493: Write Addr:  0x7ffd4026c4b8 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55a2edb3b27e: Write Addr:  0x7ffd4026c4b0 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x55a2edb3b282: Write Addr:  0x7ffd4026c4a8 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x55a2edb3b286: Read Addr:  0x7ffd4026c4a8 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x55a2edb3b28a: Read Addr:  0x7ffd4026c4b0 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x55a2edb3b28b: Read Addr:  0x7ffd4026c4b8 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x55a2edb3a4a5: Write Addr:  0x7ffd4026c4b8 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55a2edb3b22e: Write Addr:  0x7ffd4026c4b0 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55a2edb3b236: Write Addr:  0x7ffd4026c498 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55a2edb3b23a: Write Addr:  0x7ffd4026c490 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55a2edb3b23e: Read Addr:  0x7f607018d128 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55a2edb3b247: Write Addr:  0x7ffd4026c4a8 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55a2edb3b24d: Read Addr:  0x7ffd4026c498 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55a2edb3b251: Read Addr:  0x7ffd4026c490 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55a2edb3b25b: Write Addr:  0x7ffd4026c488 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55a2edb3bb81: Write Addr:  0x7ffd4026c480 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55a2edb3bb89: Write Addr:  0x7ffd4026c478 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55a2edb3bb8d: Write Addr:  0x7ffd4026c470 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55a2edb3bb91: Read Addr:  0x7ffd4026c470 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55a2edb3bb95: Read Addr:  0x7ffd4026c478 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55a2edb3bb9f: Write Addr:  0x7ffd4026c468 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55a2edb3ae16: Write Addr:  0x7ffd4026c460 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55a2edb3ae1e: Write Addr:  0x7ffd4026c458 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55a2edb3ae22: Write Addr:  0x7ffd4026c450 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55a2edb3ae26: Read Addr:  0x7ffd4026c450 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55a2edb3ae2a: Read Addr:  0x7ffd4026c458 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55a2edb3ae34: Write Addr:  0x7ffd4026c448 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55a2edb3b898: Write Addr:  0x7ffd4026c440 Phase: _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEEC1ERKS4_
0x55a2edb3b89c: Write Addr:  0x7ffd4026c438 Phase: _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEEC1ERKS4_
0x55a2edb3b8a0: Write Addr:  0x7ffd4026c430 Phase: _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEEC1ERKS4_
0x55a2edb3b8a5: Read Addr:  0x7ffd4026c440 Phase: _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEEC1ERKS4_
0x55a2edb3b8a6: Read Addr:  0x7ffd4026c448 Phase: _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEEC1ERKS4_
0x55a2edb3ae3a: Read Addr:  0x7ffd4026c460 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55a2edb3ae3b: Read Addr:  0x7ffd4026c468 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55a2edb3bba4: Read Addr:  0x7ffd4026c478 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55a2edb3bba8: Read Addr:  0x7ffd4026c480 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55a2edb3bba9: Read Addr:  0x7ffd4026c488 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x55a2edb3b260: Read Addr:  0x7ffd4026c4a8 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55a2edb3b264: Read Addr:  0x7f607018d128 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55a2edb3b274: Read Addr:  0x7ffd4026c498 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55a2edb3b278: Read Addr:  0x7ffd4026c4b0 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55a2edb3b279: Read Addr:  0x7ffd4026c4b8 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x55a2edb3a4aa: Read Addr:  0x7ffd4026c4c0 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55a2edb3a4b1: Write Addr:  0x7ffd4026c4b8 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55a2edb39f0e: Write Addr:  0x7ffd4026c4b0 Phase: _ZNKSt6vectorIS_IiSaIiEESaIS1_EE4sizeEv
0x55a2edb39f12: Write Addr:  0x7ffd4026c4a8 Phase: _ZNKSt6vectorIS_IiSaIiEESaIS1_EE4sizeEv
0x55a2edb39f16: Read Addr:  0x7ffd4026c4a8 Phase: _ZNKSt6vectorIS_IiSaIiEESaIS1_EE4sizeEv
0x55a2edb39f1a: Read Addr:  0x55a2edb42168 Phase: _ZNKSt6vectorIS_IiSaIiEESaIS1_EE4sizeEv
0x55a2edb39f1e: Read Addr:  0x7ffd4026c4a8 Phase: _ZNKSt6vectorIS_IiSaIiEESaIS1_EE4sizeEv
0x55a2edb39f22: Read Addr:  0x55a2edb42160 Phase: _ZNKSt6vectorIS_IiSaIiEESaIS1_EE4sizeEv
0x55a2edb39f40: Read Addr:  0x7ffd4026c4b0 Phase: _ZNKSt6vectorIS_IiSaIiEESaIS1_EE4sizeEv
0x55a2edb39f41: Read Addr:  0x7ffd4026c4b8 Phase: _ZNKSt6vectorIS_IiSaIiEESaIS1_EE4sizeEv
0x55a2edb3a4c6: Write Addr:  0x7ffd4026c4b8 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x55a2edb3b14a: Write Addr:  0x7ffd4026c4b0 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EEC2EmRKS3_
0x55a2edb3b14e: Write Addr:  0x7ffd4026c4a8 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EEC2EmRKS3_
0x55a2edb3b153: Write Addr:  0x7ffd4026c498 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EEC2EmRKS3_
0x55a2edb3b157: Write Addr:  0x7ffd4026c490 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EEC2EmRKS3_
0x55a2edb3b15b: Write Addr:  0x7ffd4026c488 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EEC2EmRKS3_
0x55a2edb3b15f: Read Addr:  0x7ffd4026c498 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EEC2EmRKS3_
0x55a2edb3b163: Read Addr:  0x7ffd4026c488 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EEC2EmRKS3_
0x55a2edb3b16d: Write Addr:  0x7ffd4026c478 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EEC2EmRKS3_
0x55a2edb3bab2: Write Addr:  0x7ffd4026c470 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE12_Vector_implC2ERKS3_
0x55a2edb3baba: Write Addr:  0x7ffd4026c468 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE12_Vector_implC2ERKS3_
0x55a2edb3babe: Write Addr:  0x7ffd4026c460 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE12_Vector_implC2ERKS3_
0x55a2edb3bac2: Read Addr:  0x7ffd4026c460 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE12_Vector_implC2ERKS3_
0x55a2edb3bac6: Read Addr:  0x7ffd4026c468 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE12_Vector_implC2ERKS3_
0x55a2edb3bad0: Write Addr:  0x7ffd4026c458 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE12_Vector_implC2ERKS3_
0x55a2edb3ae16: Write Addr:  0x7ffd4026c450 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55a2edb3ae1e: Write Addr:  0x7ffd4026c448 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55a2edb3ae22: Write Addr:  0x7ffd4026c440 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55a2edb3ae26: Read Addr:  0x7ffd4026c440 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55a2edb3ae2a: Read Addr:  0x7ffd4026c448 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55a2edb3ae34: Write Addr:  0x7ffd4026c438 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55a2edb3b898: Write Addr:  0x7ffd4026c430 Phase: _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEEC1ERKS4_
0x55a2edb3b89c: Write Addr:  0x7ffd4026c428 Phase: _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEEC1ERKS4_
0x55a2edb3b8a0: Write Addr:  0x7ffd4026c420 Phase: _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEEC1ERKS4_
0x55a2edb3b8a5: Read Addr:  0x7ffd4026c430 Phase: _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEEC1ERKS4_
0x55a2edb3b8a6: Read Addr:  0x7ffd4026c438 Phase: _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEEC1ERKS4_
0x55a2edb3ae3a: Read Addr:  0x7ffd4026c450 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55a2edb3ae3b: Read Addr:  0x7ffd4026c458 Phase: _ZNSaISt6vectorIiSaIiEEEC2ERKS2_
0x55a2edb3bad5: Read Addr:  0x7ffd4026c468 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE12_Vector_implC2ERKS3_
0x55a2edb3badc: Write Addr:  0x7ffd4026c458 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE12_Vector_implC2ERKS3_
0x55a2edb3a584: Write Addr:  0x7ffd4026c450 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE17_Vector_impl_dataC1Ev
0x55a2edb3a588: Write Addr:  0x7ffd4026c448 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE17_Vector_impl_dataC1Ev
0x55a2edb3a58c: Read Addr:  0x7ffd4026c448 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE17_Vector_impl_dataC1Ev
0x55a2edb3a590: Write Addr:  0x7ffd4026c580 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE17_Vector_impl_dataC1Ev
0x55a2edb3a597: Read Addr:  0x7ffd4026c448 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE17_Vector_impl_dataC1Ev
0x55a2edb3a59b: Write Addr:  0x7ffd4026c588 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE17_Vector_impl_dataC1Ev
0x55a2edb3a5a3: Read Addr:  0x7ffd4026c448 Phase: _ZNSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE17_Vector_impl_dataC1Ev
