Start ROI Name: _Z16parsec_roi_beginv
0x561efba264f3: Read Addr:  0x7fff72288a88 Phase: _Z16parsec_roi_beginv
0x561efba26bd4: Write Addr:  0x7fff72288a88 Phase: main
0x561efba27500: Write Addr:  0x7fff72288a80 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x561efba27504: Write Addr:  0x7fff72288a78 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x561efba27506: Write Addr:  0x7fff72288a70 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x561efba27508: Write Addr:  0x7fff72288a68 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x561efba2750d: Write Addr:  0x7fff72288a48 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x561efba27511: Write Addr:  0x7fff72288a40 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x561efba27515: Read Addr:  0x7f26098bf128 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x561efba2751e: Write Addr:  0x7fff72288a58 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x561efba27524: Read Addr:  0x7fff72288a48 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x561efba27528: Read Addr:  0x7fff72288a40 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x561efba2752f: Write Addr:  0x7fff72288a38 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x561efba2831a: Write Addr:  0x7fff72288a30 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x561efba2831e: Write Addr:  0x7fff72288a28 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
