Start ROI Name: _Z16parsec_roi_beginv
0x557db944d4f3: Read Addr:  0x7ffc4b0fb078 Phase: _Z16parsec_roi_beginv
0x557db944db67: Write Addr:  0x7ffc4b0fb078 Phase: main
0x557db944e464: Write Addr:  0x7ffc4b0fb070 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557db944e468: Write Addr:  0x7ffc4b0fb068 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557db944e46a: Write Addr:  0x7ffc4b0fb060 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557db944e46c: Write Addr:  0x7ffc4b0fb058 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557db944e471: Write Addr:  0x7ffc4b0fb038 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557db944e475: Write Addr:  0x7ffc4b0fb030 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557db944e479: Read Addr:  0x7fb873f22128 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557db944e482: Write Addr:  0x7ffc4b0fb048 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557db944e488: Read Addr:  0x7ffc4b0fb038 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557db944e48c: Read Addr:  0x7ffc4b0fb030 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557db944e493: Write Addr:  0x7ffc4b0fb028 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557db944f27e: Write Addr:  0x7ffc4b0fb020 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x557db944f282: Write Addr:  0x7ffc4b0fb018 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x557db944f286: Read Addr:  0x7ffc4b0fb018 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x557db944f28a: Read Addr:  0x7ffc4b0fb020 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x557db944f28b: Read Addr:  0x7ffc4b0fb028 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x557db944e4a5: Write Addr:  0x7ffc4b0fb028 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x557db944f22e: Write Addr:  0x7ffc4b0fb020 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x557db944f236: Write Addr:  0x7ffc4b0fb008 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x557db944f23a: Write Addr:  0x7ffc4b0fb000 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x557db944f23e: Read Addr:  0x7fb873f22128 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x557db944f247: Write Addr:  0x7ffc4b0fb018 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x557db944f24d: Read Addr:  0x7ffc4b0fb008 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x557db944f251: Read Addr:  0x7ffc4b0fb000 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x557db944f25b: Write Addr:  0x7ffc4b0faff8 Phase: _ZN9__gnu_cxx14__alloc_traitsISaISt6vectorIiSaIiEEES3_E17_S_select_on_copyERKS4_
0x557db944fb81: Write Addr:  0x7ffc4b0faff0 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x557db944fb89: Write Addr:  0x7ffc4b0fafe8 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
0x557db944fb8d: Write Addr:  0x7ffc4b0fafe0 Phase: _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE37select_on_container_copy_constructionERKS3_
