Start ROI Name: _Z16parsec_roi_beginv
0x5570030ed4f3: Read Addr:  0x7fff84d43588 Phase: _Z16parsec_roi_beginv
0x5570030edcac: Write Addr:  0x7fff84d43588 Phase: main
0x5570030ee7d4: Write Addr:  0x7fff84d43580 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x5570030ee7d8: Write Addr:  0x7fff84d43578 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x5570030ee7da: Write Addr:  0x7fff84d43570 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x5570030ee7dc: Write Addr:  0x7fff84d43568 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x5570030ee7e1: Write Addr:  0x7fff84d43548 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x5570030ee7e5: Write Addr:  0x7fff84d43540 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x5570030ee7e9: Read Addr:  0x7f4e6c8cf128 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x5570030ee7f2: Write Addr:  0x7fff84d43558 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x5570030ee7f8: Read Addr:  0x7fff84d43548 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x5570030ee7fc: Read Addr:  0x7fff84d43540 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x5570030ee803: Write Addr:  0x7fff84d43538 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
0x5570030ef2fa: Write Addr:  0x7fff84d43530 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x5570030ef2fe: Write Addr:  0x7fff84d43528 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x5570030ef302: Read Addr:  0x7fff84d43528 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x5570030ef306: Read Addr:  0x7fff84d43530 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x5570030ef307: Read Addr:  0x7fff84d43538 Phase: _ZNKSt12_Vector_baseISt6vectorIiSaIiEESaIS2_EE19_M_get_Tp_allocatorEv
0x5570030ee815: Write Addr:  0x7fff84d43538 Phase: _ZNSt6vectorIS_IiSaIiEESaIS1_EEC1ERKS3_
